"V1","V2","V3","V4","date"
0.0726273371838033,0.267975074239075,0.564303269144148,0.396042459877208,2001-01-01
0.320061517646536,5.595431139227,0.400703652063385,0.680902145802975,2001-02-01
0.851292995736003,5.22277175914496,0.72310319985263,0.254890670999885,2001-03-01
0.348760114284232,7.80505246948451,0.916426855139434,0.202719800407067,2001-04-01
0.619827601592988,0.836059721186757,0.369202354457229,0.808790540788323,2001-05-01
0.203037445666268,7.61413954431191,0.650123537518084,0.48606020398438,2001-06-01
0.832074844511226,0.019160567317158,0.811157856602222,0.78263029223308,2001-07-01
0.600257831159979,8.85063518770039,0.846935993991792,0.75665232911706,2001-08-01
0.958288773195818,8.24696268653497,0.614198139403015,0.448713675839826,2001-09-01
0.854104699799791,0.927769814152271,0.806809363886714,0.0663088832516223,2001-10-01
0.981477611931041,1.50256113149226,0.170628981199116,0.482514944160357,2001-11-01
0.276236789068207,2.89063573814929,0.367251413408667,0.987853336846456,2001-12-01
0.513494858983904,6.48470912361518,0.783071250654757,0.858854580204934,2002-01-01
0.400937240803614,4.8933462635614,0.781275841873139,0.352382728364319,2002-02-01
0.870234500383958,9.48409060947597,0.128025938756764,0.781191015383229,2002-03-01
0.244572896976024,3.94062855513766,0.301602673018351,0.331197192426771,2002-04-01
0.379767005098984,7.66264442587271,0.131066863192245,0.553677341900766,2002-05-01
0.479959963588044,6.4966112235561,0.0347634849604219,0.756758320145309,2002-06-01
0.143736738944426,6.96819038130343,0.135514260036871,0.462746440898627,2002-07-01
0.201403660466895,7.1767842117697,0.0573657997883856,0.179908909602091,2002-08-01
0.454853856936097,2.17274439055473,0.189062223769724,0.453820623923093,2002-09-01
0.716634209966287,0.391953636426479,0.349711989518255,0.457725012907758,2002-10-01
0.89468208514154,5.62449676683173,0.879348684800789,0.181060871109366,2002-11-01
0.897792467148975,0.0667751184664667,0.153913681861013,0.805606447160244,2002-12-01
0.363117062021047,9.81686691986397,0.304378302069381,0.254486830439419,2003-01-01
